State Name,Capital,Population,Institutions
Alabama,Montgomery,"4,779,736",129
Alaska,Juneau,"710,231",35
Arizona,Phoenix,"6,392,017",155
Arkansas,Little Rock,"2,915,918",108
California ,Sacramento,"37,253,956",1246
Colorodo ,Denver,"5,029,196",171
Connecticut ,Hartford,"3,547,097",114
Delaware,Dover,"897,934",23
Florida,Tallahassee,"18,801,310",439
Georgia,Atlanta,"9,687,653",210
Hawaii,Honolulu,"1,360,301",43
Idaho,Boise,"1,567,582",33
Illinois,Springfield,"12,830,632",391
Indiana,Indianapolis,"6,483,802",175
Iowa,Des Moines,"3,046,355",107
Kansas,Topeka,"2,853,118",99
Kentucky ,Frankfort,"4,339,367",165
Louisiana,Banton Rouge,"4,533,372",173
Maine,Augusta,"1,328,361",60
Maryland,Annapolis,"5,773,552",148
Massachusetts,Boston,"6,547,629",261
Michigan,Lansing,"9,883,640",302
Minnesota,Saint Paul,"5,303,925",169
Mississippi,Jackson,"2,967,297",69
Missouri,Jefferson City,"5,988,927",242
Montana,Helena,"989,415",54
Nebraska,Lincoln,"1,826,341",68
Nevada,Carson City,"2,700,551",77
New Hampshire,Concord,"1,316,470",43
New Jersey,Trenton,"8,791,894",207
New Mexico,Santa Fe,"2,059,179",61
New York,Albany,"19,378,102",632
North Carolina,Raleigh,"9,535,483",188
North Dakota,Bismarck,"672,591",30
Ohio,Columbus,"11,536,504",386
Oklahoma,Okalahoma City,"3,751,351",158
Oregon,Salem,"3,831,074",125
Pennsylvania,Harrisburg,"12,702,379",544
Rhode Island,Providence,"1,052,567",37
South Carolina,Columbia,"4,625,364",97
South Dakota,Pierre,"814,180",33
Tennessee,Nashville,"6,346,105",191
Texas,Austin,"25,145,561",506
Utah,Salt Lake City,"2,763,885",60
Vermont,Montpelier,"625,741",32
Virginia,Richmond,"8,001,024",222
Washington,Olympia,"7,614,893",164
West Virginia,Charleston,"1,792,147",99
Wisconsin,Madison,"5,822,434",132
Wyoming,Cheyenne,"578,759",17
